0,1
0,18
1,2
2,3
3,4
4,5
5,6
5,16
6,7
7,8
7,13
8,9
9,10
10,11
11,12
12,15
13,14
13,17
15,30
16,24
17,26
18,19
18,32
19,20
20,21
21,22
22,23
23,24
24,25
24,31
25,26
26,27
27,28
28,29
29,30
30,33
31,34
32,37
33,36
34,35
35,41
36,46
37,38
38,39
39,40
39,49
40,41
41,42
42,43
43,44
44,45
44,56
45,46
47,48
47,63
48,49
49,50
50,51
50,62
51,52
52,53
52,61
53,54
53,61
54,55
54,59
55,56
56,57
57,58
58,65
59,60
59,64
61,66
61,67
62,68
63,77
64,74
65,76
66,67
66,70
66,71
67,71
67,72
68,79
69,70
69,81
70,71
71,72
71,84
72,73
72,82
73,74
74,75
74,83
75,76
76,105
77,78
77,91
78,79
79,80
80,81
80,85
83,86
84,88
85,87
86,90
87,96
88,99
89,90
89,103
90,103
91,94
92,93
93,97
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
