288.75,965.25
371.25,965.25
470.25,965.25
552.75,965.25
635.25,965.25
717.75,965.25
800.25,965.25
866.25,965.25
899.25,965.25
965.25,965.25
1031.25,965.25
1097.25,965.25
1146.75,965.25
866.25,915.75
899.25,915.75
1146.75,915.75
717.75,899.25
866.25,882.75
288.75,849.75
354.75,849.75
420.75,849.75
470.25,849.75
569.25,849.75
651.75,849.75
717.75,849.75
800.25,849.75
866.25,849.75
915.75,849.75
981.75,849.75
1064.25,849.75
1146.75,849.75
717.75,800.25
288.75,783.75
1146.75,783.75
717.75,767.25
717.75,734.25
1146.75,734.25
288.75,684.75
371.25,684.75
470.25,684.75
585.75,684.75
717.75,684.75
833.25,684.75
915.75,684.75
998.25,684.75
1080.75,684.75
1146.75,684.75
288.75,569.25
387.75,569.25
470.25,569.25
503.25,569.25
585.75,569.25
668.25,569.25
783.75,569.25
932.25,569.25
981.75,569.25
998.25,569.25
1064.25,569.25
1146.75,569.25
932.25,536.25
981.75,536.25
717.75,519.75
503.25,503.25
288.75,486.75
932.25,486.75
1146.75,486.75
684.75,470.25
767.25,470.25
503.25,453.75
585.75,420.75
668.25,420.75
734.25,420.75
783.75,420.75
849.75,420.75
932.25,420.75
1031.25,420.75
1146.75,420.75
288.75,387.75
387.75,387.75
503.25,387.75
519.75,387.75
585.75,387.75
783.75,387.75
932.25,354.75
734.25,321.75
519.75,305.25
932.25,305.25
519.75,255.75
734.25,255.75
915.75,255.75
932.25,255.75
288.75,239.25
585.75,239.25
585.75,222.75
288.75,189.75
387.75,189.75
519.75,189.75
585.75,189.75
651.75,189.75
734.25,189.75
849.75,189.75
882.75,189.75
899.25,189.75
932.25,189.75
1031.25,189.75
1146.75,189.75
